File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4371_028294_22May2024083917.mat,0.30028620732643135,2024-05-22 08:39:17
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4689_E00007_21Jan2025120313.mat,0.36479406951865945,2025-01-21 12:03:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4745_036462_14Feb2025131220.mat,0.21606564266530476,2025-02-14 13:12:20
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4752_036616_24Feb2025112505.mat,0.2977959512342436,2025-02-24 11:25:05
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4753_036669_25Feb2025133046.mat,0.46536750171680685,2025-02-25 13:30:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4835_038283_08May2025094524.mat,0.5264120988119725,2025-05-08 09:45:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4938_E00410_14Aug2025123053.mat,0.494900577572712,2025-08-14 12:30:53
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4938_E00428_15Aug2025090134.mat,0.7456706207594956,2025-08-15 09:01:34
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4938_E00433_15Aug2025093121.mat,0.7432091844816202,2025-08-15 09:31:21
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4948_040436_14Aug2025064118.mat,0.5133736871525895,2025-08-14 06:41:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4948_040438_14Aug2025065250.mat,0.37503589521728664,2025-08-14 06:52:50
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4948_040447_14Aug2025075328.mat,0.7644056340101371,2025-08-14 07:53:28
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040463_18Aug2025081207.mat,0.5377847232482192,2025-08-18 08:12:07
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040494_19Aug2025113438.mat,0.6056260715095392,2025-08-19 11:34:38
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040539_21Aug2025130140.mat,0.734319293689703,2025-08-21 13:01:40
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040542_21Aug2025131318.mat,0.4819250610439545,2025-08-21 13:13:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040544_21Aug2025132038.mat,0.5766980612516395,2025-08-21 13:20:38
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4952_040547_22Aug2025111525.mat,0.6493290919091214,2025-08-22 11:15:25
