File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_111482-12_21Sep2021091148.mat,0.4742526431250452,2021-09-21 09:11:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482-12_21Sep2021090141.mat,0.46840050597175714,2021-09-21 09:01:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482test_21Sep2021083109.mat,0.4794612582162108,2021-09-21 08:31:09
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482_21Sep2021085910.mat,0.43183978763355635,2021-09-21 08:59:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3774_016931_29Nov2023164555.mat,0.5218629950981123,2023-11-29 16:45:55
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3774_016931_29Nov2023164943.mat,0.5153465458186486,2023-11-29 16:49:43
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4689_E00007_21Jan2025120313.mat,0.36479406951865945,2025-01-21 12:03:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4745_036462_14Feb2025131220.mat,0.21606564266530476,2025-02-14 13:12:20
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4752_036616_24Feb2025112505.mat,0.2977959512342436,2025-02-24 11:25:05
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4753_036669_25Feb2025133046.mat,0.46536750171680685,2025-02-25 13:30:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4908_E00208_02Jul2025103814.mat,0.6726140658680979,2025-07-02 10:38:14
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4908_E00212_02Jul2025105702.mat,0.6671693561504182,2025-07-02 10:57:02
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4908_E00213_02Jul2025110222.mat,0.5623584921456404,2025-07-02 11:02:22
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4908_E00215_02Jul2025111509.mat,0.44904238966403187,2025-07-02 11:15:09
